./dataset/test0//id_00000004_03_1_front.jpg predict = ['Skirts', 'Suiting']
./dataset/test0//id_00000004_05_1_front.jpg predict = ['Shorts', 'Suiting']
./dataset/test0//id_00000005_02_1_front.jpg predict = ['Skirts', 'Suiting']
./dataset/test0//id_00000006_01_1_front.jpg predict = ['Skirts', 'Shirts_Polos']
./dataset/test0//id_00000006_02_1_front.jpg predict = ['Shorts', 'Suiting']
./dataset/test0//id_00000010_01_1_front.jpg predict = ['Skirts', 'Suiting']
./dataset/test0//id_00000010_02_1_front.jpg predict = ['Skirts', 'Sweaters']
./dataset/test0//id_00000013_03_1_front.jpg predict = ['Skirts', 'Shirts_Polos']
./dataset/test0//id_00000013_05_1_front.jpg predict = ['Skirts', 'Suiting']
./dataset/test0//id_00000014_01_1_front.jpg predict = ['Skirts', 'Sweaters']
./dataset/test0//id_00000052_03_1_front.jpg predict = ['Skirts', 'Sweaters']
./dataset/test0//id_00000063_02_1_front.jpg predict = ['Skirts', 'Sweaters']
./dataset/test0//id_00000103_02_3_back.jpg predict = ['Skirts', 'Suiting']
./dataset/test0//id_00000103_03_1_front.jpg predict = ['Skirts', 'Sweaters']
./dataset/test0//id_00000128_01_2_side.jpg predict = ['Skirts', 'Suiting']
./dataset/test0//id_00000144_01_3_back.jpg predict = ['Skirts', 'Suiting']
./dataset/test0//id_00000144_03_2_side.jpg predict = ['Skirts', 'Suiting']
./dataset/test0//id_00000147_01_2_side.jpg predict = ['Skirts', 'Sweaters']
./dataset/test0//id_00000148_02_2_side.jpg predict = ['Skirts', 'Blouses_Shirts']
./dataset/test0//id_00000176_01_2_side.jpg predict = ['Skirts', 'Suiting']
